person,personLabel,cricinfoIdLabel,Wikipedia_page_links,Wikipedia_image_link
http://www.wikidata.org/entity/Q1541932,Graham Gooch,13399,https://en.wikipedia.org/wiki/Graham_Gooch,File:Graham_Gooch_01.jpg
http://www.wikidata.org/entity/Q16214872,Jamie Haynes,14112,https://en.wikipedia.org/wiki/Jamie_Haynes,nan
http://www.wikidata.org/entity/Q3526958,Jack Ikin,15381,https://en.wikipedia.org/wiki/Jack_Ikin,File:Jack_Ikin_1946.jpg
http://www.wikidata.org/entity/Q786474,Stanley Jackson,15463,https://en.wikipedia.org/wiki/Stanley_Jackson,File:Stanley_Jackson_MP.jpg
http://www.wikidata.org/entity/Q7326893,Richard Johnson,15522,"https://en.wikipedia.org/wiki/Richard_Johnson_(cricketer,_born_1974)",nan
http://www.wikidata.org/entity/Q6162965,Jason Lewry,16286,https://en.wikipedia.org/wiki/Jason_Lewry,nan
http://www.wikidata.org/entity/Q6250657,John North,18035,https://en.wikipedia.org/wiki/John_North_(cricketer),nan
http://www.wikidata.org/entity/Q3527142,Ken Shuttleworth,20182,https://en.wikipedia.org/wiki/Ken_Shuttleworth_(cricketer),nan
http://www.wikidata.org/entity/Q507772,Andrew Strauss,20387,https://en.wikipedia.org/wiki/Andrew_Strauss,File:Andrew_Strauss.JPG
http://www.wikidata.org/entity/Q3526364,Derek Underwood,22149,https://en.wikipedia.org/wiki/Derek_Underwood,File:Derek_Underwood.jpg
http://www.wikidata.org/entity/Q6791376,Matthew Walker,22274,https://en.wikipedia.org/wiki/Matthew_Walker_(English_cricketer),File:Mattwalker.jpg
http://www.wikidata.org/entity/Q3525857,Rockley Wilson,22471,https://en.wikipedia.org/wiki/Rockley_Wilson,nan
http://www.wikidata.org/entity/Q4663719,Abbas Ali,26550,https://en.wikipedia.org/wiki/Abbas_Ali_(cricketer),nan
http://www.wikidata.org/entity/Q7460129,Shabnim Ismail,276997,https://en.wikipedia.org/wiki/Shabnim_Ismail,File:2020_ICC_W_T20_WC_E_v_SA_02-23_Ismael_(01).jpg
http://www.wikidata.org/entity/Q21285449,Chirag Pathak,279546,https://en.wikipedia.org/wiki/Chirag_Pathak,nan
http://www.wikidata.org/entity/Q3527867,Harvinder Singh,29280,https://en.wikipedia.org/wiki/Harvinder_Singh,nan
http://www.wikidata.org/entity/Q16222380,Timil Patel,32257,https://en.wikipedia.org/wiki/Timil_Patel,nan
http://www.wikidata.org/entity/Q3528442,Sudhakar Rao,34136,https://en.wikipedia.org/wiki/Sudhakar_Rao,nan
http://www.wikidata.org/entity/Q5039949,Carl Bulfin,36312,https://en.wikipedia.org/wiki/Carl_Bulfin,nan
http://www.wikidata.org/entity/Q24054020,Peter Dobbs,36853,https://en.wikipedia.org/wiki/Peter_Dobbs,nan
http://www.wikidata.org/entity/Q5678190,Hasan Jamil,40376,https://en.wikipedia.org/wiki/Hasan_Jamil,nan
http://www.wikidata.org/entity/Q3535373,Iftikhar Anjum,40591,https://en.wikipedia.org/wiki/Iftikhar_Anjum,nan
http://www.wikidata.org/entity/Q4885271,Ben Barnett,4100,https://en.wikipedia.org/wiki/Ben_Barnett,File:Ben_Barnett_c1930.jpg
http://www.wikidata.org/entity/Q21642744,Majid Majeed,41348,https://en.wikipedia.org/wiki/Majid_Majeed,nan
http://www.wikidata.org/entity/Q5567590,Glen Batticciotto,4260,https://en.wikipedia.org/wiki/Glen_Batticciotto,nan
http://www.wikidata.org/entity/Q7554621,Sohail Fazal,42664,https://en.wikipedia.org/wiki/Sohail_Fazal,nan
http://www.wikidata.org/entity/Q2681131,Neil Adcock,43923,https://en.wikipedia.org/wiki/Neil_Adcock,nan
http://www.wikidata.org/entity/Q3524994,Loots Bosman,44098,https://en.wikipedia.org/wiki/Loots_Bosman,nan
http://www.wikidata.org/entity/Q6150982,Jandre Coetzee,44667,https://en.wikipedia.org/wiki/Jandre_Coetzee,nan
http://www.wikidata.org/entity/Q3525593,Eric Dalton,44673,https://en.wikipedia.org/wiki/Eric_Dalton,File:Eric_Dalton_1935.jpg
http://www.wikidata.org/entity/Q3525724,Jackie du Preez,44738,https://en.wikipedia.org/wiki/Jackie_du_Preez,nan
http://www.wikidata.org/entity/Q28003517,Brent Kops,45946,https://en.wikipedia.org/wiki/Brent_Kops,nan
http://www.wikidata.org/entity/Q4678929,Adam Dale,4890,https://en.wikipedia.org/wiki/Adam_Dale,nan
http://www.wikidata.org/entity/Q2830487,Alan Davidson,4902,"https://en.wikipedia.org/wiki/Alan_Davidson_(cricketer,_born_1929)",nan
