Jersey_Number,Player_Name,Country
48,Ihsanullah Janat,Afghanistan
78,Afsar Zazai,Afghanistan
87,Usman Ghani,Afghanistan
88,Mujeeb Ur Rahman,Afghanistan
99,Wafadar Momand,Afghanistan
1,Brendan Taylor,Zimbabwe
7,Neville Madziva,Zimbabwe
9,Malcolm Waller,Zimbabwe
14,Sean Williams,Zimbabwe
18,Timycen Maruma,Zimbabwe
26,Ainsley Ndlovu,Zimbabwe
32,Tony Munyonga,Zimbabwe
34,Elton Chigumbura,Zimbabwe
77,Craig Ervine,Zimbabwe
89,Richmond Mutumbami,Zimbabwe
1,Paul Stirling,Ireland
3,Lorcan Tucker,Ireland
7,James McCollum,Ireland
13,Harry Tector,Ireland
14,Gary Wilson,Ireland
17,Tyrone Kane,Ireland
17,Stuart Thompson,Ireland
21,Simi Singh,Ireland
22,Kevin O?rien,Ireland
23,David Delany,Ireland
30,Boyd Rankin,Ireland
32,Mark Adair,Ireland
35,Andy McBrine,Ireland
44,Craig Young,Ireland
50,George Dockrell,Ireland
58,Shane Getkate,Ireland
60,Stephen Doheny,Ireland
60,Barry McCarthy,Ireland
63,Andrew Balbirnie,Ireland
64,Gareth Delany,Ireland
82,Joshua Little,Ireland
85,Curtis Campher,Ireland
1,Rajeshwari Gayakwad,India
3,Mithali Raj,India
5,Jemimah Rodrigues,India
5,Sushma Verma,India
6,Deepti Sharma,India
7,Harmanpreet Kaur,India
7,Nuzhat Parveen,India
7,Sneh Rana,India
8,Ekta Bisht,India
10,Mansi Joshi,India
11,Ravi Kalpana,India
11,Pooja Vastrakar,India
12,Shikha Pandey,India
14,Poonam Raut,India
14,Vellaswamy Vanitha,India
15,Latika Kumari,India
16,Thirush Kamini,India
17,Shafali Verma,India
18,Smriti Mandhana,India
20,Arundhati Reddy,India
21,Harleen Deol,India
23,Radha Yadav,India
24,Poonam Yadav,India
25,Jhulan Goswami,India
28,Taniya Bhatia,India
30,Mona Meshram,India
69,Priya Punia,India
79,Veda Krishnamurthy,India
82,Anuja Patil,India
3,Megan Schutt,Australia
6,Beth Mooney,Australia
7,Rachael Haynes,Australia
8,Ellyse Perry,Australia
14,Annabel Sutherland,Australia
16,Nicola Carey,Australia
17,Meg Lanning,Australia
21,Jess Jonassen,Australia
23,Sophie Molineux,Australia
26,Delissa Kimmince,Australia
30,Tayla Vlaeminck,Australia
32,Tahlia McGrath,Australia
35,Georgia Wareham,Australia
63,Ashleigh Gardner,Australia
77,Alyssa Healy,Australia
